1,北海道地方,
2,東北地方,
3,関東地方,
4,中部地方,
5,近畿地方,
6,中国地方,
7,四国地方,
8,九州・沖縄地方,
9,北海道,1
10,青森県,2
11,岩手県,2
12,宮城県,2
13,秋田県,2
14,山形県,2
15,福島県,2
16,茨城県,3
17,栃木県,3
18,群馬県,3
19,埼玉県,3
20,千葉県,3
21,東京都,3
22,神奈川県,3
23,新潟県,4
24,富山県,4
25,石川県,4
26,福井県,4
27,山梨県,4
28,長野県,4
29,岐阜県,4
30,静岡県,4
31,愛知県,4
32,三重県,5
33,滋賀県,5
34,京都府,5
35,大阪府,5
36,兵庫県,5
37,奈良県,5
38,和歌山県,5
39,鳥取県,6
40,島根県,6
41,岡山県,6
42,広島県,6
43,山口県,6
44,徳島県,7
45,香川県,7
46,愛媛県,7
47,高知県,7
48,福岡県,8
49,佐賀県,8
50,長崎県,8
51,熊本県,8
52,大分県,8
53,宮崎県,8
54,鹿児島県,8
55,沖縄県,8